"Action","Receipt Date","Type","Application Number","Bank Name","Branch Name","Branch Address","City","State","County"
"Consummated/Effective",2020-06-10,"Branch Closings","2020-LB-BranchClosing-312929","JPMorgan Chase Bank, NA","Glenwood Fred Meyer","5425 CHINDEN BLVD","GARDEN CITY","ID","Ada"
"Receipt",2020-06-10,"Branch Closings","2020-SO-BranchClosing-314954","BankUnited, NA","Hobesound/Island Crossing","11750 SE FEDERAL HIGHWAY","HOBESOUND","FL","Martin"
"Consummated/Effective",2020-06-10,"Branch Closings","2020-LB-BranchClosing-313731","Wells Fargo Bank, N.A.","Imperial Point Office","6245 NORTH FEDERAL HIGHWAY","FORT LAUDERDALE","FL","Broward"
"Receipt",2020-06-10,"Branch Closings","2020-SO-BranchClosing-314902","Vast Bank, NA","Ketchum Branch","HIGHWAY 85 & 6TH STREET","KETCHUM","OK","Craig"
"Consummated/Effective",2020-06-10,"Branch Closings","2020-LB-BranchClosing-313703","Wells Fargo Bank, N.A.","Lakehills Office","FM 1283 AT PARK ROAD 37","LAKEHILLS","TX","Bandera"
"Consummated/Effective",2020-06-10,"Branch Closings","2020-LB-BranchClosing-313702","Wells Fargo Bank, N.A.","Lancaster Office","LANCASTER MALL, 831 LANCASTER DRIVE","SALEM","OR","Marion"
"Consummated/Effective",2020-06-10,"Branch Closings","2020-LB-BranchClosing-313632","Citizens Bank, NA","Millers Woods","131 Donahue Road","Greensburg","PA","Westmoreland"
"Consummated/Effective",2020-06-10,"Branch Closings","2020-LB-BranchClosing-313699","Wells Fargo Bank, N.A.","North Temple","1955 WEST NORTH TEMPLE","SALT LAKE CITY","UT","Salt Lake"
"Consummated/Effective",2020-06-10,"Branch Closings","2020-LB-BranchClosing-314843","Wells Fargo Bank, N.A.","Northside Pkwy Drive Thru","3330 NORTHSIDE PKWY NW","ATLANTA","GA","Fulton"
"Receipt",2020-06-10,"Branch Closings","2020-LB-BranchClosing-314843","Wells Fargo Bank, N.A.","Northside Pkwy Drive Thru","3330 NORTHSIDE PKWY NW","ATLANTA","GA","Fulton"
"Consummated/Effective",2020-06-10,"Branch Closings","2020-LB-BranchClosing-313719","Wells Fargo Bank, N.A.","Orangethorpe Branch","1661 NORTH RAYMOND, SUITE 102","ANAHEIM","CA","Orange"
"Consummated/Effective",2020-06-10,"Branch Closings","2020-LB-BranchClosing-313723","Wells Fargo Bank, N.A.","Riverside","803 LOMAX STREET","JACKSONVILLE","FL","Duval"
"Consummated/Effective",2020-06-10,"Branch Closings","2020-LB-BranchClosing-312922","JPMorgan Chase Bank, NA","South Everett Fred Meyer","8530 EVERGREEN WAY, STE A","EVERETT","WA","Snohomish"
"Receipt",2020-06-10,"Branch Closings","2020-WE-BranchClosing-314847","CIT Bank, NA","Tampa Branch","5401 West Kennedy Boulevard","Tampa","FL","Hillsborough"
"Consummated/Effective",2020-06-10,"Branch Closings","2020-LB-BranchClosing-314280","Wells Fargo Bank, N.A.","The Matador","18111 NORDHOFF STREET","NORTHRIDGE","CA","Los Angeles"
"Consummated/Effective",2020-06-10,"Branch Closings","2020-LB-BranchClosing-312925","JPMorgan Chase Bank, NA","Thor Street Fred Meyer","400 S THOR ST, STE A","SPOKANE","WA","Spokane"
"Consummated/Effective",2020-06-10,"Branch Closings","2020-LB-BranchClosing-313704","Wells Fargo Bank, N.A.","Washington Twp.","500 HURFFVILLE-CROSS KEYS RD.","SEWELL","NJ","Gloucester"
